facility_id,facility_name,program_type,zipcode,latitude,longitude,n_f,b_f,cut1,cut2,cut3,cap1,cap2,cap3,U_f_realistic,coef1,coef2,coef3,geo_missing_flag
51349,"Valerio, Gladys",FDC,10474,40.818399,-73.888816,6,6,0,0,1,0,0,1,1,3533.3333333333335,3733.3333333333335,4333.333333333333,False
73544,YMCA OF GREATER NY,SACC,10017,40.753216,-73.970794,60,0,6,9,12,6,3,3,12,533.3333333333334,733.3333333333334,1333.3333333333333,False
108407,"Almond Tree Group Family Day Care, LLC",GFDC,11225,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
111953,"Williams, Petal",GFDC,11226,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
126425,"Hernandez, Lidia",GFDC,10465,40.841228,-73.823572,12,12,1,1,2,1,0,1,2,1866.6666666666667,2066.6666666666665,2666.6666666666665,False
234238,"Navedo, Edith",GFDC,10469,40.865752,-73.847882,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
250057,KIPS BAY BOYS & GIRLS CLUB,SACC,10473,40.819564,-73.848827,240,0,24,36,48,24,12,12,48,283.3333333333333,483.3333333333333,1083.3333333333333,False
269090,Precious Moments After School #2,SACC,11378,40.721854,-73.903974,15,0,1,2,3,1,1,1,3,1533.3333333333333,1733.3333333333333,2333.3333333333335,False
274852,"Fernandez, Luz",GFDC,10460,40.839556,-73.868169,12,12,1,1,2,1,0,1,2,1866.6666666666667,2066.6666666666665,2666.6666666666665,False
333723,"Bahar, Yaffa",GFDC,11367,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
340346,"Dundas, Deon",GFDC,11422,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
349917,"Seda, Lucy",GFDC,10452,40.830097,-73.921286,10,10,1,1,2,1,0,1,2,2200.0,2400.0,3000.0,False
386539,"Rapalo, Edith",GFDC,10451,40.82677,-73.925507,12,12,1,1,2,1,0,1,2,1866.6666666666667,2066.6666666666665,2666.6666666666665,False
436883,"De La Cruz Diaz, Jose",GFDC,10452,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
500895,Princess Play Pen,GFDC,10473,40.820518,-73.854203,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
503056,Little Sunshine Family Group Daycare Corp.,GFDC,10456,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
551979,MY LITTLE TIGER CORPORATION,GFDC,11373,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
597006,"Diaz, Luz",FDC,10460,40.844991,-73.884606,6,6,0,0,1,0,0,1,1,3533.3333333333335,3733.3333333333335,4333.333333333333,False
620002,"Dou, Anthony",GFDC,11366,40.735085,-73.775096,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
624233,"Directions For Our Youth, Inc.",SACC,10462,40.84489,-73.858149,245,0,24,36,49,24,12,13,49,281.6326530612245,481.6326530612245,1081.6326530612246,False
641317,"THE SENSORY STOP TWO, INC",GFDC,10456,,,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,True
