candidate_id,zipcode,latitude,longitude,geo_missing_flag,size,new_total_capacity,new_under5_capacity_max,fixed_build_cost,blocked_by_existing,build_selected,new_under5_assigned,under5_equipment_cost_newbuild,total_newbuild_related_cost
43,10001,40.740595689161246,-73.9945738373391,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
72,10001,40.7384772070302,-74.00312840063886,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
108,10002,40.707448546344246,-73.99345131277413,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
177,10002,40.70844715895826,-73.99188318186687,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
191,10002,40.72363438133742,-73.98159472288842,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
215,10003,40.74121630585919,-73.99661288477922,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
234,10003,40.72232150960338,-73.97988966721725,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
258,10003,40.73012748286665,-73.99394400087351,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
288,10003,40.74097707659363,-73.9852533949834,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
329,10004,40.712650784019935,-74.00036836544636,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
357,10004,40.71222445489324,-74.01265128361081,False,small,100,50,65000,0,1,50.0,5000.0,70000.0
403,10005,40.71540737044279,-74.00005698093977,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
406,10005,40.69960379776417,-74.00482693460832,False,large,400,200,115000,0,1,123.0,12300.0,127300.0
596,10006,40.71530033395471,-74.0102684470354,False,medium,200,100,95000,0,1,86.0,8600.0,103600.0
615,10007,40.705925684939295,-74.00732998683233,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
647,10007,40.72304977086896,-74.0028223420148,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
810,10009,40.72153951797377,-73.97377092540079,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
813,10009,40.735440465067114,-73.9852489557944,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
833,10009,40.71886151980368,-73.97413090656957,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
867,10009,40.722942982273295,-73.98579478982154,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
885,10009,40.72326847406496,-73.98434217645979,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
965,10010,40.738570839189336,-73.99021003688917,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
984,10010,40.72929284952197,-73.98287778482224,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
990,10010,40.734817842907134,-73.97643319548703,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
992,10010,40.74187631422075,-73.97244321107578,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
999,10010,40.73319388132781,-73.98820261168692,False,large,400,200,115000,0,1,148.0,14800.0,129800.0
1010,10011,40.74763936792301,-74.00063435706211,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1016,10011,40.74712852327958,-74.00843647195246,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1078,10011,40.74873604951661,-74.00691590105048,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1101,10012,40.72418659806853,-74.00273062075861,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1157,10012,40.73034543138459,-74.00783984916309,False,large,400,200,115000,0,1,191.0,19100.0,134100.0
1259,10013,40.709452415216994,-74.00058809919364,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
