facility_id,facility_name,program_type,zipcode,latitude,longitude,n_f,b_f,cap1,cap2,cap3,cap10_cum,cap15_cum,cap20_cum,U_f_realistic,coef1,coef2,coef3,expand_low_band,expand_mid_band,expand_high_band,selected_cost_band,u_under5,expand_total,expansion_cost,under5_equipment_cost_expansion,total_expansion_related_cost
250057,KIPS BAY BOYS & GIRLS CLUB,SACC,10473,40.819564,-73.848827,240,0,24,12,12,24,36,48,48,283.3333333333333,483.3333333333333,1083.3333333333333,24.0,-0.0,-0.0,0_10_pct,24.0,24.0,6800.0,2400.0,9200.0
624233,"Directions For Our Youth, Inc.",SACC,10462,40.84489,-73.858149,245,0,24,12,13,24,36,49,49,281.6326530612245,481.6326530612245,1081.6326530612246,24.0,-0.0,-0.0,0_10_pct,24.0,24.0,6759.183673469388,2400.0,9159.183673469388
677764,Italian American Civil Rights League @MS 366,SACC,11236,40.647388,-73.891883,180,0,18,9,9,18,27,36,36,311.1111111111111,511.1111111111111,1111.111111111111,18.0,-0.0,-0.0,0_10_pct,18.0,18.0,5600.0,1800.0,7400.0
689575,"SCAN-Harbor, Inc.",SACC,10035,40.8071,-73.936369,40,0,4,2,2,4,6,8,8,700.0,900.0,1500.0,4.0,2.0,0.0,10_15_pct,6.0,6.0,4600.0,600.0,5200.0
720363,"New York Edge, Inc.",SACC,10469,40.866987,-73.8508,206,0,20,10,11,20,30,41,41,297.0873786407767,497.0873786407767,1097.0873786407767,20.0,10.0,11.0,15_20_pct,41.0,41.0,22980.582524271842,4100.0,27080.582524271842
791237,Yeshiva Kehilath Yakov,SACC,11211,40.707164,-73.959423,284,0,28,14,14,28,42,56,56,270.4225352112676,470.4225352112676,1070.4225352112676,28.0,-0.0,-0.0,0_10_pct,28.0,28.0,7571.830985915492,2800.0,10371.830985915492
818672,"Grand Street Settlement, Inc.",SACC,10038,40.71236,-73.998909,100,0,10,5,5,10,15,20,20,400.0,600.0,1200.0,10.0,5.0,-0.0,10_15_pct,15.0,15.0,7000.0,1500.0,8500.0
825327,The Q StudioLab LLC,SACC,11104,40.743341,-73.922791,100,0,10,5,5,10,15,20,20,400.0,600.0,1200.0,10.0,-0.0,-0.0,0_10_pct,10.0,10.0,4000.0,1000.0,5000.0
826115,"Hartley House, Inc.",SACC,10019,40.763979,-73.985859,62,0,6,3,3,6,9,12,12,522.5806451612904,722.5806451612904,1322.5806451612902,6.0,3.0,0.0,10_15_pct,9.0,9.0,5303.225806451614,900.0,6203.225806451614
875675,After-School All-Stars,SACC,11236,40.63544,-73.910885,196,0,19,10,10,19,29,39,39,302.0408163265306,502.0408163265306,1102.0408163265306,19.0,-0.0,-0.0,0_10_pct,19.0,19.0,5738.775510204081,1900.0,7638.775510204081
888739,City of New York Parks & Recreation,SACC,10474,40.814984,-73.889068,80,0,8,4,4,8,12,16,16,450.0,650.0,1250.0,3.0,-0.0,-0.0,0_10_pct,3.0,3.0,1350.0,300.0,1650.0
894399,Roads to Success,SACC,11234,40.628558,-73.928246,100,0,10,5,5,10,15,20,20,400.0,600.0,1200.0,10.0,-0.0,-0.0,0_10_pct,10.0,10.0,4000.0,1000.0,5000.0
769206,"Southeast Bronx Neighborhood Centers, Inc",SACC,10456,40.823296,-73.903164,79,0,7,4,4,7,11,15,15,453.1645569620253,653.1645569620254,1253.1645569620252,7.0,-0.0,-0.0,0_10_pct,7.0,7.0,3172.151898734177,700.0,3872.151898734177
74215,"Catholic Charities Community Services, Archdiocese of New York @ IS 143",SACC,10033,40.84928,-73.931431,152,0,15,7,8,15,22,30,30,331.57894736842104,531.578947368421,1131.578947368421,15.0,7.0,0.0,10_15_pct,22.0,22.0,8694.736842105263,2200.0,10894.736842105263
728553,"Aspira of New York, Inc.",SACC,10473,40.823491,-73.859805,295,0,29,15,15,29,44,59,59,267.79661016949154,467.79661016949154,1067.7966101694915,29.0,4.0,-0.0,10_15_pct,33.0,33.0,9637.28813559322,3300.0,12937.28813559322
73477,University Settlement Society of New York,SACC,10002,40.720388,-73.990992,41,0,4,2,2,4,6,8,8,687.8048780487804,887.8048780487804,1487.8048780487804,1.0,0.0,0.0,0_10_pct,1.0,1.0,687.8048780487804,100.0,787.8048780487804
860161,"SCAN-Harbor, Inc.",SACC,10029,40.793035,-73.951818,77,0,7,4,4,7,11,15,15,459.7402597402597,659.7402597402597,1259.7402597402595,7.0,-0.0,-0.0,0_10_pct,7.0,7.0,3218.181818181818,700.0,3918.181818181818
709773,"New York Edge, Inc.",SACC,11225,40.663881,-73.948373,288,0,28,15,14,28,43,57,57,269.44444444444446,469.44444444444446,1069.4444444444443,28.0,15.0,-0.0,10_15_pct,43.0,43.0,14586.111111111113,4300.0,18886.111111111113
232581,"KIPS BAY BOYS' CLUB, INC.",SACC,10465,40.821213,-73.825745,200,0,20,10,10,20,30,40,40,300.0,500.0,1100.0,20.0,1.0,-0.0,10_15_pct,21.0,21.0,6500.0,2100.0,8600.0
