zipcode,high_demand,existing_total,req_total,final_total_capacity,existing_under5,req_under5,final_under5_capacity,added_total_capacity,added_under5_capacity,num_new_facilities_total
11219,1,2595.0,13374,14067.0,1012.0,8084,8084.0,11472.0,7072.0,22.0
11230,0,824.0,5803,9991.0,312.0,5279,5279.0,9167.0,4967.0,21.0
11223,1,1448.0,7741,8532.0,144.0,4428,4428.0,7084.0,4284.0,14.0
11368,1,3057.0,9621,9621.0,502.0,5263,5263.0,6564.0,4761.0,9.0
11220,1,2251.0,8344,8344.0,396.0,3855,3855.0,6093.0,3459.0,11.0
11249,0,315.0,3204,6202.0,96.0,3183,3183.0,5887.0,3087.0,14.0
11206,1,3233.0,8618,8877.0,358.0,4802,4802.0,5644.0,4444.0,6.0
11204,1,3192.0,8683,8766.0,432.0,4806,4806.0,5574.0,4374.0,6.0
10314,0,1654.0,4624,7211.0,156.0,3513,3513.0,5557.0,3357.0,11.0
11205,0,918.0,3711,6150.0,136.0,3168,3168.0,5232.0,3032.0,11.0
