zipcode,pop_0_5,pop_6_12,child_pop_0_12,employment_rate,average_income,employment_missing_flag,income_missing_flag,pop_0_5_missing_flag,pop_6_12_missing_flag,child_pop_0_12_missing_flag,high_demand,total_threshold_rule,req_total,req_under5,existing_total,existing_under5,n_active_facilities,gap_total,gap_under5,is_desert_total_before,is_under5_short_before,needs_intervention_before
10001,744.0,1255.0,1999.0,0.5950970226633091,102878.03360298694,0,0,0,0,0,0,666.3333333333333,667,496,609.0,24.0,9.0,58.0,472.0,1,1,1
10002,2142.0,4645.0,6787.0,0.5206618050654748,59604.04116465864,0,0,0,0,0,1,3393.5,3394,1428,4724.0,198.0,56.0,0.0,1230.0,0,1,1
10003,1440.0,1510.0,2950.0,0.4972437218107912,114273.04964539009,0,0,0,0,0,0,983.3333333333331,984,960,1995.0,0.0,7.0,0.0,960.0,0,1,1
10004,433.0,262.0,695.0,0.5066608429788163,132004.3103448276,0,0,0,0,0,0,231.66666666666663,232,289,263.0,0.0,2.0,0.0,289.0,0,1,1
10005,484.0,318.0,802.0,0.6658334280195433,121437.7133105802,0,0,0,0,0,1,401.0,402,323,39.0,0.0,1.0,363.0,323.0,1,1,1
10006,128.0,133.0,261.0,0.6316916488222698,126377.1186440678,0,0,0,0,0,1,130.5,131,86,156.0,0.0,1.0,0.0,86.0,0,1,1
10007,605.0,596.0,1201.0,0.528910205169198,138853.90428211587,0,0,0,0,0,0,400.3333333333333,401,404,284.0,0.0,3.0,117.0,404.0,1,1,1
10008,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10009,1896.0,2575.0,4471.0,0.5145674278475812,77133.23353293413,0,0,0,0,0,0,1490.3333333333333,1491,1264,1784.0,106.0,23.0,0.0,1158.0,0,1,1
10010,1422.0,2066.0,3488.0,0.4927491514964517,116272.69881026926,0,0,0,0,0,0,1162.6666666666663,1163,948,234.0,0.0,3.0,929.0,948.0,1,1,1
10011,1209.0,1882.0,3091.0,0.5569999212164185,120420.79207920792,0,0,0,0,0,0,1030.3333333333333,1031,806,1956.0,6.0,7.0,0.0,800.0,0,1,1
10012,613.0,364.0,977.0,0.5382730015082956,111131.78633975482,0,0,0,0,0,0,325.66666666666663,326,409,24.0,18.0,2.0,302.0,391.0,1,1,1
10013,1249.0,1796.0,3045.0,0.4861983499134213,106023.04469273744,0,0,0,0,0,0,1015.0,1016,833,435.0,12.0,5.0,581.0,821.0,1,1,1
10014,708.0,789.0,1497.0,0.6086012015885408,124233.12883435584,0,0,0,0,0,1,748.5,749,472,1711.0,0.0,6.0,0.0,472.0,0,1,1
10016,1798.0,1966.0,3764.0,0.5652117934852582,109298.7308818744,0,0,0,0,0,0,1254.6666666666663,1255,1199,823.0,12.0,3.0,432.0,1187.0,1,1,1
10017,193.0,293.0,486.0,0.7773022228358415,118061.72291296624,0,0,0,0,0,1,243.0,244,129,107.0,0.0,2.0,137.0,129.0,1,1,1
10018,242.0,280.0,522.0,0.757593255572237,108746.18902439025,0,0,0,0,0,1,261.0,262,162,0.0,0.0,0.0,262.0,162.0,1,1,1
10019,1099.0,949.0,2048.0,0.6170789879811065,107014.96779082986,0,0,0,0,0,1,1024.0,1025,733,591.0,48.0,12.0,434.0,685.0,1,1,1
10020,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,44.0,0.0,2.0,0.0,0.0,0,0,0
10021,1787.0,2321.0,4108.0,0.5418040450765218,124193.91462306994,0,0,0,0,0,0,1369.3333333333333,1370,1192,460.0,0.0,1.0,910.0,1192.0,1,1,1
10022,1228.0,1466.0,2694.0,0.5698803072708867,124320.79414838034,0,0,0,0,0,0,898.0,899,819,16.0,12.0,1.0,883.0,807.0,1,1,1
10023,3548.0,3533.0,7081.0,0.5057376799683438,121776.25639482395,0,0,0,0,0,0,2360.333333333333,2361,2366,1099.0,18.0,9.0,1262.0,2348.0,1,1,1
10024,4221.0,4349.0,8570.0,0.4603816866855704,118313.14878892733,0,0,0,0,0,0,2856.6666666666665,2857,2814,1243.0,90.0,14.0,1614.0,2724.0,1,1,1
10025,4499.0,5314.0,9813.0,0.4391264898750361,93258.39398919934,0,0,0,0,0,0,3271.0,3272,3000,2513.0,184.0,35.0,759.0,2816.0,1,1,1
10026,2222.0,3043.0,5265.0,0.4513262772768849,65380.718008106545,0,0,0,0,0,0,1755.0,1756,1482,1706.0,348.0,43.0,50.0,1134.0,1,1,1
10027,3636.0,4867.0,8503.0,0.3941889797282922,61675.983037779486,0,0,0,0,0,0,2834.333333333333,2835,2424,3693.0,350.0,58.0,0.0,2074.0,0,1,1
10028,1719.0,3012.0,4731.0,0.5260625150381696,117822.24532224532,0,0,0,0,0,0,1577.0,1578,1146,348.0,24.0,3.0,1230.0,1122.0,1,1,1
10029,3965.0,5301.0,9266.0,0.4520326923585579,48339.6723229959,0,0,0,0,0,1,4633.0,4634,2644,3358.0,358.0,68.0,1276.0,2286.0,1,1,1
10030,1872.0,2199.0,4071.0,0.4055264167839325,48373.42271293375,0,0,0,0,0,1,2035.5,2036,1248,1272.0,171.0,28.0,764.0,1077.0,1,1,1
10031,2359.0,4006.0,6365.0,0.4465631347880217,48674.798239178286,0,0,0,0,0,1,3182.5,3183,1573,1577.0,548.0,60.0,1606.0,1025.0,1,1,1
10032,2238.0,3448.0,5686.0,0.4551917989417989,46467.4900108972,0,0,0,0,0,1,2843.0,2844,1492,3222.0,768.0,82.0,0.0,724.0,0,1,1
10033,3206.0,3770.0,6976.0,0.4276881674643593,52235.16527279968,0,0,0,0,0,1,3488.0,3489,2138,2893.0,880.0,91.0,596.0,1258.0,1,1,1
10034,2615.0,2951.0,5566.0,0.4544142410392109,50708.04658549497,0,0,0,0,0,1,2783.0,2784,1744,3126.0,791.0,79.0,0.0,953.0,0,1,1
10035,2382.0,3097.0,5479.0,0.3839875631558492,50944.669365721995,0,0,0,0,0,1,2739.5,2740,1588,2059.0,102.0,29.0,681.0,1486.0,1,1,1
10036,634.0,898.0,1532.0,0.5719366311024895,94940.64443188242,0,0,0,0,0,0,510.66666666666663,511,423,686.0,0.0,3.0,0.0,423.0,0,1,1
10037,1070.0,1402.0,2472.0,0.5026648552617828,57120.58212058212,0,0,0,0,0,1,1236.0,1237,714,586.0,142.0,18.0,651.0,572.0,1,1,1
10038,772.0,1219.0,1991.0,0.5059332562224221,95681.62574089757,0,0,0,0,0,0,663.6666666666666,664,515,802.0,11.0,9.0,0.0,504.0,0,1,1
10039,1898.0,2541.0,4439.0,0.4219225750326228,47026.16970658208,0,0,0,0,0,1,2219.5,2220,1266,1423.0,266.0,34.0,797.0,1000.0,1,1,1
10040,1970.0,3484.0,5454.0,0.4673218335509587,50772.05882352941,0,0,0,0,0,1,2727.0,2728,1314,2594.0,879.0,86.0,134.0,435.0,1,1,1
10041,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10043,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10044,939.0,764.0,1703.0,0.3992908998818166,86945.03171247357,0,0,0,0,0,0,567.6666666666666,568,626,489.0,12.0,5.0,79.0,614.0,1,1,1
10045,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10055,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10060,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10065,2230.0,1770.0,4000.0,0.491266729317217,120720.64643799471,0,0,0,0,0,0,1333.3333333333333,1334,1487,845.0,0.0,5.0,489.0,1487.0,1,1,1
10069,690.0,541.0,1231.0,0.519252276721521,133653.84615384616,0,0,0,0,0,0,410.3333333333333,411,460,16.0,12.0,1.0,395.0,448.0,1,1,1
10075,1243.0,1199.0,2442.0,0.5635451505016722,120113.13056379822,0,0,0,0,0,0,814.0,815,829,235.0,0.0,1.0,580.0,829.0,1,1,1
10080,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10081,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10087,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10090,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10101,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10102,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10103,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10104,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10105,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10106,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10107,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10108,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10109,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10110,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10111,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10112,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10113,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10114,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10115,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10116,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10117,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
10118,0.0,0.0,0.0,0.4766521247374374,61197.28128267689,1,1,1,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
