facility_id,program_type,facility_status,facility_name,city,zipcode,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude,is_active_facility,geo_missing_flag,under5_capacity_current,capacity_inconsistency_flag,zero_total_capacity_flag
51349,FDC,Registration,"Valerio, Gladys",Bronx,10474,Bronx 8,0,0,0,0,6,6,40.818399,-73.888816,1,False,6,0,0
73544,SACC,Registration,YMCA OF GREATER NY,New York,10017,Manhattan 2,0,0,0,60,0,60,40.753216,-73.970794,1,False,0,0,0
108407,GFDC,License,"Almond Tree Group Family Day Care, LLC",Brooklyn,11225,Brooklyn 17,0,0,0,4,12,16,,,1,True,12,0,0
111953,GFDC,License,"Williams, Petal",Brooklyn,11226,Brooklyn 22,0,0,0,4,12,16,,,1,True,12,0,0
126425,GFDC,License,"Hernandez, Lidia",Bronx,10465,Bronx 8,0,0,0,0,12,12,40.841228,-73.823572,1,False,12,0,0
234238,GFDC,License,"Navedo, Edith",Bronx,10469,Bronx 11,0,0,0,4,12,16,40.865752,-73.847882,1,False,12,0,0
250057,SACC,Registration,KIPS BAY BOYS & GIRLS CLUB,BRONX,10473,Bronx 8,0,0,0,240,0,240,40.819564,-73.848827,1,False,0,0,0
269090,SACC,Registration,Precious Moments After School #2,Maspeth,11378,Queens 24,0,0,0,15,0,15,40.721854,-73.903974,1,False,0,0,0
274852,GFDC,License,"Fernandez, Luz",Bronx,10460,Bronx 11,0,0,0,0,12,12,40.839556,-73.868169,1,False,12,0,0
333723,GFDC,License,"Bahar, Yaffa",Flushing,11367,Queens 25,0,0,0,4,12,16,,,1,True,12,0,0
340346,GFDC,License,"Dundas, Deon",Rosedale,11422,Queens 29,0,0,0,4,12,16,,,1,True,12,0,0
349917,GFDC,License,"Seda, Lucy",BRONX,10452,Bronx 9,0,0,0,0,10,10,40.830097,-73.921286,1,False,10,0,0
386539,GFDC,License,"Rapalo, Edith",Bronx,10451,Bronx 9,0,0,0,0,12,12,40.82677,-73.925507,1,False,12,0,0
436883,GFDC,License,"De La Cruz Diaz, Jose",BRONX,10452,Bronx 9,0,0,0,4,12,16,,,1,True,12,0,0
500895,GFDC,License,Princess Play Pen,Bronx,10473,Bronx 8,0,0,0,4,12,16,40.820518,-73.854203,1,False,12,0,0
503056,GFDC,License,Little Sunshine Family Group Daycare Corp.,Bronx,10456,Bronx 9,0,0,0,4,12,16,,,1,True,12,0,0
551979,GFDC,License,MY LITTLE TIGER CORPORATION,Elmhurst,11373,Queens 24,0,0,0,4,12,16,,,1,True,12,0,0
597006,FDC,Registration,"Diaz, Luz",Bronx,10460,Bronx 12,0,0,0,0,6,6,40.844991,-73.884606,1,False,6,0,0
620002,GFDC,License,"Dou, Anthony",Fresh Meadows,11366,Queens 26,0,0,0,4,12,16,40.735085,-73.775096,1,False,12,0,0
624233,SACC,Registration,"Directions For Our Youth, Inc.",Bronx,10462,Bronx 11,0,0,0,245,0,245,40.84489,-73.858149,1,False,0,0,0
641317,GFDC,License,"THE SENSORY STOP TWO, INC",Bronx,10456,Bronx 9,0,0,0,4,12,16,,,1,True,12,0,0
677764,SACC,Registration,Italian American Civil Rights League @MS 366,Brooklyn,11236,Brooklyn 19,0,0,0,180,0,180,40.647388,-73.891883,1,False,0,0,0
689575,SACC,Registration,"SCAN-Harbor, Inc.",New York,10035,Manhattan 5,0,0,0,40,0,40,40.8071,-73.936369,1,False,0,0,0
699643,GFDC,License,"David, Richard",Bronx,10467,Bronx 10,0,0,0,4,12,16,40.870249,-73.879746,1,False,12,0,0
702394,GFDC,License,My First Steps Day Care DLB,Rego Park,11374,Queens 28,0,0,0,4,12,16,,,1,True,12,0,0
708508,GFDC,License,"Liang, Hong",Bayside,11364,Queens 26,0,0,0,4,12,16,,,1,True,12,0,0
720363,SACC,Registration,"New York Edge, Inc.",Bronx,10469,Bronx 11,0,0,0,206,0,206,40.866987,-73.8508,1,False,0,0,0
749905,SACC,Registration,Mosholu Montefiore Community Center,Bronx,10464,Bronx 11,0,0,0,40,0,40,40.843684,-73.784915,1,False,0,0,0
781415,GFDC,License,Mn'M Kiddie Group LLC,Brooklyn,11211,Brooklyn 14,0,0,0,0,12,12,40.704553,-73.961388,1,False,12,0,0
789544,GFDC,License,"Geshmake Kinder, Inc.",Brooklyn,11218,Brooklyn 15,0,0,0,0,12,12,40.636363,-73.980547,1,False,12,0,0
791237,SACC,Registration,Yeshiva Kehilath Yakov,Brooklyn,11211,Brooklyn 14,0,0,0,284,0,284,40.707164,-73.959423,1,False,0,0,0
818672,SACC,Registration,"Grand Street Settlement, Inc.",New York,10038,Manhattan 2,0,0,0,100,0,100,40.71236,-73.998909,1,False,0,0,0
825327,SACC,Registration,The Q StudioLab LLC,Sunnyside,11104,Queens 30,0,0,0,100,0,100,40.743341,-73.922791,1,False,0,0,0
826115,SACC,Registration,"Hartley House, Inc.",New York,10019,Manhattan 2,0,0,0,62,0,62,40.763979,-73.985859,1,False,0,0,0
831636,SACC,Registration,"Grand Street Settlement, Inc. @ P. S. 157",Brooklyn,11205,Brooklyn 14,0,0,0,101,0,101,40.695267,-73.959658,1,False,0,0,0
875675,SACC,Registration,After-School All-Stars,Brooklyn,11236,Brooklyn 18,0,0,0,196,0,196,40.63544,-73.910885,1,False,0,0,0
885578,GFDC,Pending Revocation,"Nunez, Kenny",Bronx,10460,Bronx 12,0,0,0,0,10,10,40.837575,-73.889189,0,False,10,0,0
886656,GFDC,License,"Huq, Mohammad",BRONX,10462,Bronx 11,0,0,0,4,12,16,40.831951,-73.851559,1,False,12,0,0
888739,SACC,Registration,City of New York Parks & Recreation,bronx,10474,Bronx 8,0,0,0,80,0,80,40.814984,-73.889068,1,False,0,0,0
894399,SACC,Registration,Roads to Success,Brooklyn,11234,Brooklyn 22,0,0,0,100,0,100,40.628558,-73.928246,1,False,0,0,0
911887,GFDC,License,Montessori Playhouse Group Family Day Care,Ridgewood,11385,Queens 24,0,0,0,4,12,16,,,1,True,12,0,0
794470,FDC,Registration,"Kimpson, Debra",Jamaica,11434,Queens 28,0,0,0,2,6,8,,,1,True,6,0,0
568414,GFDC,License,CATERPILLAR EARLY LEARNING DAYCARE INC.,Bronx,10463,Bronx 10,0,0,0,4,12,16,40.877149,-73.909284,1,False,12,0,0
618944,GFDC,License,Wee Bee Kidz Inc,Brooklyn,11233,Brooklyn 16,0,0,0,4,12,16,40.684625,-73.924133,1,False,12,0,0
840230,GFDC,License,Daycare by the Sea,Far Rockaway,11691,Queens 27,0,0,0,4,12,16,40.595291,-73.761357,1,False,12,0,0
881862,GFDC,License,"Jallow, Mariama",BROOKLYN,11225,Brooklyn 17,0,0,0,4,12,16,40.664341,-73.958775,1,False,12,0,0
53014,FDC,Registration,"Burton, Sofia",Brooklyn,11208,Brooklyn 19,0,0,0,2,6,8,40.670309,-73.865678,1,False,6,0,0
172380,GFDC,License,Congregation Toras Emes,Staten Island,10306,Richmond 31,0,0,0,4,12,16,40.559204,-74.125539,1,False,12,0,0
769206,SACC,Registration,"Southeast Bronx Neighborhood Centers, Inc",Bronx,10456,Bronx 8,0,0,0,79,0,79,40.823296,-73.903164,1,False,0,0,0
267366,GFDC,License,"Nurse, Cora",Brooklyn,11210,Brooklyn 22,0,0,0,4,12,16,40.63394,-73.950656,1,False,12,0,0
791983,GFDC,License,Moore Hugs and Learn Family Daycare,New York,10037,Manhattan 5,0,0,0,4,12,16,40.815962,-73.937661,1,False,12,0,0
576262,FDC,Registration,"Sheocharan, Jasso",Bronx,10473,Bronx 8,0,0,0,2,6,8,40.816245,-73.862879,1,False,6,0,0
74215,SACC,Registration,"Catholic Charities Community Services, Archdiocese of New York @ IS 143",New York,10033,Manhattan 6,0,0,0,152,0,152,40.84928,-73.931431,1,False,0,0,0
585734,GFDC,License,CLARIMAR KIDS CORP.,Brooklyn,11220,Brooklyn 15,0,0,0,4,12,16,40.647348,-74.011331,1,False,12,0,0
607560,GFDC,License,Dynamic First Steps Group Family Daycare Corp.,Bronx,10452,Bronx 9,0,0,0,4,12,16,40.834317,-73.918321,1,False,12,0,0
251464,GFDC,License,"Rosado, Maria",Brooklyn,11237,Brooklyn 32,0,0,0,4,12,16,40.698064,-73.91312,1,False,12,0,0
728553,SACC,Registration,"Aspira of New York, Inc.",Bronx,10473,Bronx 8,0,0,0,295,0,295,40.823491,-73.859805,1,False,0,0,0
815237,GFDC,License,"Smart Cookies, LLC",Brooklyn,11204,Brooklyn 20,0,0,0,4,12,16,40.630146,-73.980706,1,False,12,0,0
233516,SACC,Registration,KIPS BAY BOYS & GIRLS CLUB HELP MORRIS,Bronx,10457,Bronx 9,0,0,0,40,0,40,40.838976,-73.910195,1,False,0,0,0
647797,FDC,Registration,"Gibbons, Tondelayo",St. Albans,11412,Queens 29,0,0,0,2,6,8,40.694618,-73.749959,1,False,6,0,0
367235,GFDC,License,The Educational Garden,Brooklyn,11233,Brooklyn 16,0,0,0,4,12,16,40.684076,-73.918325,1,False,12,0,0
867682,GFDC,License,"Cedano Martinez, Jennifer",Bronx,10458,Bronx 10,0,0,0,2,12,14,40.87136,-73.885563,1,False,12,0,0
404046,GFDC,License,"Maggies My Care Daycare, LLC",Brooklyn,11226,Brooklyn 17,0,0,0,2,12,14,40.645574,-73.963485,1,False,12,0,0
73477,SACC,Registration,University Settlement Society of New York,New York,10002,Manhattan 1,0,0,0,41,0,41,40.720388,-73.990992,1,False,0,0,0
794955,GFDC,License,"Little Dimples, Inc.",Brooklyn,11204,Brooklyn 20,0,0,0,4,12,16,40.624681,-73.978301,1,False,12,0,0
72446,GFDC,License,Independent Toddler Childcare,New York,10009,Manhattan 2,0,0,0,4,12,16,40.729852,-73.981527,1,False,12,0,0
405628,GFDC,License,SMILING KIDS 2 DAY CARE,Ozone Park,11416,Queens 27,0,0,0,4,12,16,40.682021,-73.855402,1,False,12,0,0
216690,GFDC,License,The Kids Private Playhouse,Brooklyn,11207,Brooklyn 19,0,0,0,4,12,16,40.662905,-73.886155,1,False,12,0,0
807903,GFDC,License,Creating Stars Family Daycare LLC.,Bronx,10457,Bronx 9,0,0,0,2,12,14,40.844611,-73.911004,1,False,12,0,0
732829,GFDC,License,"Rowe, Cynthia",Cambria Heights,11411,Queens 29,0,0,0,4,12,16,40.695873,-73.734437,1,False,12,0,0
449081,GFDC,License,"Mc Keown, Catherine",Brooklyn,11231,Brooklyn 15,0,0,0,4,12,16,40.680565,-73.993092,1,False,12,0,0
754427,SACC,Registration,"DIRECTIONS FOR  OUR YOUTH, INC",BRONX,10456,Bronx 9,0,0,0,53,0,53,40.835578,-73.90729,1,False,0,0,0
434252,FDC,Registration,"Severino, Alexsa",Bronx,10452,Bronx 9,0,0,0,2,5,7,,,1,True,5,0,0
378047,GFDC,License,Alistars Play Place,Brooklyn,11225,Brooklyn 17,0,0,0,4,12,16,40.66575,-73.955458,1,False,12,0,0
125354,GFDC,License,"Pazmino De Chico, Piedad",Glendale,11385,Queens 24,0,0,0,4,12,16,40.69585,-73.891985,1,False,12,0,0
