zipcode,average_income
10001,102878.03360298694
10002,59604.04116465864
10003,114273.04964539009
10004,132004.3103448276
10005,121437.7133105802
10006,126377.1186440678
10007,138853.90428211587
10009,77133.23353293413
10010,116272.69881026926
10011,120420.79207920792
10012,111131.78633975482
10013,106023.04469273744
10014,124233.12883435584
10016,109298.7308818744
10017,118061.72291296624
10018,108746.18902439025
10019,107014.96779082986
10021,124193.91462306994
10022,124320.79414838034
10023,121776.25639482395
10024,118313.14878892733
10025,93258.39398919934
10026,65380.718008106545
10027,61675.983037779486
10028,117822.24532224532
10029,48339.6723229959
10030,48373.42271293375
10031,48674.798239178286
10032,46467.4900108972
10033,52235.16527279968
10034,50708.04658549497
10035,50944.669365721995
10036,94940.64443188242
10037,57120.58212058212
10038,95681.62574089757
10039,47026.16970658208
10040,50772.05882352941
10044,86945.03171247357
10065,120720.64643799471
10069,133653.84615384616
10075,120113.13056379822
10128,111992.48721227625
10162,137335.52631578947
10280,134397.5903614458
10282,152181.6037735849
10301,66913.36230309615
10302,57217.51412429378
10303,52778.861154446175
10304,61216.41074856045
10305,64277.19465648855
10306,73657.31115731115
10307,86900.43604651163
10308,81452.4647887324
10309,85576.92307692306
10310,67453.42929720576
10312,83484.34925864909
10314,74144.03778040141
10451,40553.319919517104
10452,35306.24661979448
10453,34474.69021882415
10454,35661.76470588235
10455,35785.48644338118
10456,34503.467062902426
10457,34633.56973995271
10458,35868.3314415437
10459,36056.161891768985
10460,36095.55804404629
10461,57890.49919484702
10462,49331.55080213904
10463,65918.80341880342
10464,84418.6046511628
10465,67554.12890231621
10466,47724.43890274314
10467,42034.178610804855
10468,37413.79310344827
10469,53108.54753793744
10470,58968.83289124668
10471,91633.16582914571
10472,37918.66028708134
10473,46564.818085482155
10474,35229.54091816367
10475,56136.161705908475
11004,76746.32352941176
11005,121318.49315068494
11101,91603.38785046728
11102,67476.42744892614
11103,63495.96570852244
11104,66906.22861054073
11105,68860.90814196243
11106,66533.1940575673
11109,133892.85714285713
11201,117507.86388332857
11203,50698.51913942442
11204,51748.09830310123
11205,72222.22222222222
11206,51560.84305408271
11207,42837.47363487227
11208,40213.28593645857
11209,74627.30195849166
11210,61197.28128267689
11211,82047.45443117537
11212,39632.59000537345
11213,49651.68930686173
11214,51150.96359743041
11215,107133.58778625954
11216,65817.74081774082
11217,102531.34040501446
11218,65583.38377723971
11219,44299.33061699651
11220,37017.22832260508
11221,53503.67197062424
11222,89192.82029234737
11223,55444.328669246795
11224,50012.23091976516
11225,59241.72637325145
11226,51581.9099378882
11228,60916.66666666667
11229,63066.07521186441
11230,61947.777474775015
11231,99623.89380530972
11232,52851.94174757282
11233,50900.47393364929
11234,69030.64861012118
11235,60106.056890632666
11236,53505.434782608696
11237,49178.7542662116
11238,91554.80984340044
11239,46691.17647058824
11354,45820.251177394035
11355,36375.873795579064
11356,47101.851851851854
11357,74928.46924177397
11358,59587.37864077671
11360,88817.0731707317
11361,69375.86926286509
11362,80604.3956043956
11363,89290.83094555873
11364,71153.84615384616
11365,59569.00401965163
11366,69285.71428571429
11367,58402.06185567011
11368,37360.08394963022
11369,45303.27428878153
11370,52810.492505353315
11372,55456.262714327226
11373,43863.54943583859
11374,68042.50320375909
11375,89112.78837937908
11377,52190.35698737484
11378,60131.43483023002
11379,72842.22100054976
11385,56635.8024691358
11411,61994.70644850818
11412,53815.85743801653
11413,58580.26131591227
11414,76196.70905011219
11415,71841.82590233546
11416,44281.6091954023
11417,53020.833333333336
11418,50623.98263700488
11419,43174.27790788446
11420,50056.352459016394
11421,48021.92564346997
11422,58648.52398523985
11423,54796.32063074902
11426,70276.31578947368
11427,65363.48267117498
11428,56970.91273821464
11429,52782.012195121955
11432,53037.4246186591
11433,44920.749279538904
11434,52329.7354819094
11435,51125.46125461255
11436,49839.10891089109
11691,47078.33904109589
11692,50110.01100110011
11693,61620.92624356775
11694,84441.93912063134
11697,100870.90163934426
