facility_id,facility_name,program_type,facility_status,is_active_facility,zipcode,latitude,longitude,geo_missing_flag,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,under5_capacity_current,total_capacity
51349,"Valerio, Gladys",FDC,Registration,1,10474,40.818399,-73.888816,False,0,0,0,0,6,6,6
73544,YMCA OF GREATER NY,SACC,Registration,1,10017,40.753216,-73.970794,False,0,0,0,60,0,0,60
108407,"Almond Tree Group Family Day Care, LLC",GFDC,License,1,11225,,,True,0,0,0,4,12,12,16
111953,"Williams, Petal",GFDC,License,1,11226,,,True,0,0,0,4,12,12,16
126425,"Hernandez, Lidia",GFDC,License,1,10465,40.841228,-73.823572,False,0,0,0,0,12,12,12
234238,"Navedo, Edith",GFDC,License,1,10469,40.865752,-73.847882,False,0,0,0,4,12,12,16
250057,KIPS BAY BOYS & GIRLS CLUB,SACC,Registration,1,10473,40.819564,-73.848827,False,0,0,0,240,0,0,240
269090,Precious Moments After School #2,SACC,Registration,1,11378,40.721854,-73.903974,False,0,0,0,15,0,0,15
274852,"Fernandez, Luz",GFDC,License,1,10460,40.839556,-73.868169,False,0,0,0,0,12,12,12
333723,"Bahar, Yaffa",GFDC,License,1,11367,,,True,0,0,0,4,12,12,16
340346,"Dundas, Deon",GFDC,License,1,11422,,,True,0,0,0,4,12,12,16
349917,"Seda, Lucy",GFDC,License,1,10452,40.830097,-73.921286,False,0,0,0,0,10,10,10
386539,"Rapalo, Edith",GFDC,License,1,10451,40.82677,-73.925507,False,0,0,0,0,12,12,12
436883,"De La Cruz Diaz, Jose",GFDC,License,1,10452,,,True,0,0,0,4,12,12,16
500895,Princess Play Pen,GFDC,License,1,10473,40.820518,-73.854203,False,0,0,0,4,12,12,16
503056,Little Sunshine Family Group Daycare Corp.,GFDC,License,1,10456,,,True,0,0,0,4,12,12,16
551979,MY LITTLE TIGER CORPORATION,GFDC,License,1,11373,,,True,0,0,0,4,12,12,16
597006,"Diaz, Luz",FDC,Registration,1,10460,40.844991,-73.884606,False,0,0,0,0,6,6,6
620002,"Dou, Anthony",GFDC,License,1,11366,40.735085,-73.775096,False,0,0,0,4,12,12,16
