zipcode,in_childcare,in_population,in_employment,in_income,in_potential_locations,n_facilities,n_active_facilities,existing_total_capacity,existing_under5_capacity,n_missing_geo,n_candidate_points
10001,1,1,1,1,1,9.0,9.0,609.0,24.0,0.0,100
10002,1,1,1,1,1,57.0,56.0,4729.0,203.0,1.0,100
10003,1,1,1,1,1,7.0,7.0,1995.0,0.0,0.0,100
10004,1,1,1,1,1,2.0,2.0,263.0,0.0,0.0,100
10005,1,1,1,1,1,1.0,1.0,39.0,0.0,0.0,100
10006,1,1,1,1,1,1.0,1.0,156.0,0.0,0.0,100
10007,1,1,1,1,1,3.0,3.0,284.0,0.0,0.0,100
10008,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10009,1,1,1,1,1,23.0,23.0,1784.0,106.0,0.0,100
10010,1,1,1,1,1,3.0,3.0,234.0,0.0,0.0,100
10011,1,1,1,1,1,7.0,7.0,1956.0,6.0,0.0,100
10012,1,1,1,1,1,2.0,2.0,24.0,18.0,0.0,100
10013,1,1,1,1,1,5.0,5.0,435.0,12.0,0.0,100
10014,1,1,1,1,1,6.0,6.0,1711.0,0.0,0.0,100
10016,1,1,1,1,1,3.0,3.0,823.0,12.0,0.0,100
10017,1,1,1,1,1,2.0,2.0,107.0,0.0,0.0,100
10018,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,100
10019,1,1,1,1,1,12.0,12.0,591.0,48.0,0.0,100
10020,1,1,0,0,1,2.0,2.0,44.0,0.0,0.0,100
10021,1,1,1,1,1,1.0,1.0,460.0,0.0,0.0,100
10022,1,1,1,1,1,1.0,1.0,16.0,12.0,0.0,100
10023,1,1,1,1,1,9.0,9.0,1099.0,18.0,0.0,100
10024,1,1,1,1,1,14.0,14.0,1243.0,90.0,0.0,100
10025,1,1,1,1,1,36.0,35.0,2553.0,184.0,0.0,100
10026,1,1,1,1,1,43.0,43.0,1706.0,348.0,0.0,100
10027,1,1,1,1,1,59.0,58.0,3758.0,350.0,0.0,100
10028,1,1,1,1,1,3.0,3.0,348.0,24.0,0.0,100
10029,1,1,1,1,1,68.0,68.0,3358.0,358.0,0.0,100
10030,1,1,1,1,1,28.0,28.0,1272.0,171.0,1.0,100
10031,1,1,1,1,1,60.0,60.0,1577.0,548.0,1.0,100
10032,1,1,1,1,1,82.0,82.0,3222.0,768.0,1.0,100
10033,1,1,1,1,1,91.0,91.0,2893.0,880.0,0.0,100
10034,1,1,1,1,1,79.0,79.0,3126.0,791.0,1.0,100
10035,1,1,1,1,1,30.0,29.0,2075.0,114.0,1.0,100
10036,1,1,1,1,1,3.0,3.0,686.0,0.0,0.0,100
10037,1,1,1,1,1,18.0,18.0,586.0,142.0,0.0,100
10038,1,1,1,1,1,9.0,9.0,802.0,11.0,0.0,100
10039,1,1,1,1,1,34.0,34.0,1423.0,266.0,0.0,100
10040,1,1,1,1,1,86.0,86.0,2594.0,879.0,1.0,100
10041,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10043,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10044,1,1,1,1,1,5.0,5.0,489.0,12.0,0.0,100
10045,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10055,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10060,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10065,1,1,1,1,1,5.0,5.0,845.0,0.0,0.0,100
10069,1,1,1,1,1,1.0,1.0,16.0,12.0,0.0,100
10075,1,1,1,1,1,1.0,1.0,235.0,0.0,0.0,100
10080,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10081,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10087,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10090,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10101,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10102,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10103,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10104,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10105,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10106,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10107,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10108,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10109,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10110,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10111,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10112,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10113,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10114,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10115,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10116,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10117,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10118,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10119,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10120,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10121,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10122,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10123,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10124,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10125,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10126,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10128,1,1,1,1,1,3.0,3.0,301.0,0.0,0.0,100
10129,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10130,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10131,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10132,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10133,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10138,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10150,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10151,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10152,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10153,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10154,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10155,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10156,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10157,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10158,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10159,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10160,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10161,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10162,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,100
10163,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10164,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10165,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10166,1,0,0,0,1,1.0,1.0,39.0,0.0,0.0,100
10167,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10168,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10169,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10170,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10171,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10172,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10173,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10174,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10175,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10176,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,100
10177,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,100
