candidate_id,zipcode,latitude,longitude,geo_missing_flag,size,new_total_capacity,new_under5_capacity_max,fixed_build_cost,blocked_by_existing,build_selected,new_under5_assigned,under5_equipment_cost_newbuild,total_newbuild_related_cost
43,10001,40.740595689161246,-73.9945738373391,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
85,10001,40.75772294891254,-73.99086240860738,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
101,10002,40.70599985603802,-73.9849058978785,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
103,10002,40.721387299429786,-73.98351929079634,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
104,10002,40.724286676307855,-73.99066127519009,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
236,10003,40.7213132843718,-73.9803666440922,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
281,10003,40.736320645990695,-73.9960804414393,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
283,10003,40.72337156926896,-73.99883807283597,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
290,10003,40.74019251436844,-73.99648903133783,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
310,10004,40.71976518252134,-74.00464614502326,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
370,10004,40.70905046275973,-74.01057387797483,False,small,100,50,65000,0,1,50.0,5000.0,70000.0
403,10005,40.71540737044279,-74.00005698093977,False,large,400,200,115000,0,1,123.0,12300.0,127300.0
458,10005,40.71103861734817,-74.01003827748193,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
508,10006,40.71029423635986,-74.00586865459854,False,medium,200,100,95000,0,1,86.0,8600.0,103600.0
646,10007,40.7202345137406,-74.0048563871974,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
647,10007,40.72304977086896,-74.0028223420148,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
803,10009,40.72827565807685,-73.98188344060516,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
829,10009,40.720220109633615,-73.97272819281454,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
845,10009,40.71724814073539,-73.97139737225733,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
879,10009,40.734692456242854,-73.97010425478531,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
897,10009,40.7312068637407,-73.9838433247572,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
982,10010,40.73244914372163,-73.9849995084577,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
984,10010,40.72929284952197,-73.98287778482224,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
988,10010,40.74515171947464,-73.98969586675341,False,large,400,200,115000,0,1,148.0,14800.0,129800.0
990,10010,40.734817842907134,-73.97643319548703,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
994,10010,40.73395814212674,-73.9843850830982,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1005,10011,40.7403608867773,-74.00037811999394,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1094,10011,40.73295449691556,-73.99661860804419,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1100,10011,40.74735957158003,-74.00053391895247,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1124,10012,40.73387053256792,-74.00267167771571,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1185,10012,40.71819589927742,-73.99130654346783,False,large,400,200,115000,0,1,191.0,19100.0,134100.0
1243,10013,40.715338682963285,-74.01096363092044,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1282,10013,40.71172436426585,-74.01063865719844,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1293,10013,40.72283950145963,-74.00081034012472,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1297,10013,40.72039295362866,-73.9939271502386,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1378,10014,40.725919525594406,-74.00698705965932,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1421,10016,40.74101344507959,-73.9747369079526,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1445,10016,40.74185381640813,-73.98403825658967,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1459,10016,40.74262932739795,-73.97138070861142,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
1474,10016,40.75020070088607,-73.98071553344232,False,large,400,200,115000,0,1,200.0,20000.0,135000.0
