facility_id,facility_name,zipcode,program_type,n_f,b_f,U_f,U_f_int,cslot_f,alpha_big_f,x_added,x_total_added,u_under5_added,delta_triggered,selected_cost_regime,expansion_cost,under5_equipment_cost_expansion,total_facility_related_cost
866851,"Imogen Roche Foundation, Inc.",10016,SACC,480.0,0.0,500.0,500,250,241.66666666666663,500.0,500.0,500.0,1,high_cost_rule,120833.33333333331,50000.0,170833.3333333333
905401,"87 Afterschool, Inc.",10024,SACC,540.0,0.0,500.0,500,250,237.03703703703704,500.0,500.0,500.0,0,low_cost_rule,125000.0,50000.0,175000.0
886512,WildArts Inc.,10025,SACC,560.0,0.0,500.0,500,250,235.71428571428572,500.0,500.0,500.0,0,low_cost_rule,125000.0,50000.0,175000.0
709901,"Harlem Children's Zone, Inc. Promise Academy 1 After School",10027,SACC,443.0,0.0,500.0,500,250,245.14672686230247,500.0,500.0,500.0,1,high_cost_rule,122573.36343115123,50000.0,172573.36343115123
73664,The Children's Aid Society @IS 90,10032,SACC,486.0,0.0,500.0,500,250,241.1522633744856,500.0,500.0,500.0,1,high_cost_rule,120576.1316872428,50000.0,170576.1316872428
889892,"Imogen Roche Foundation, Inc.",10065,SACC,469.0,0.0,500.0,500,250,242.64392324093816,500.0,500.0,500.0,1,high_cost_rule,121321.96162046908,50000.0,171321.96162046908
661155,"New York Center for Interpersonal Development, Inc. @ PS 48",10304,SACC,437.0,0.0,500.0,500,250,245.766590389016,500.0,500.0,500.0,1,high_cost_rule,122883.295194508,50000.0,172883.29519450798
481959,"New York Center for Interpersonal Development, Inc.",10314,SACC,890.0,0.0,500.0,500,250,222.47191011235955,500.0,500.0,500.0,0,low_cost_rule,125000.0,50000.0,175000.0
637483,"Directions for Our Youth,  Inc.",10453,SACC,464.0,0.0,500.0,500,250,243.1034482758621,500.0,500.0,500.0,1,high_cost_rule,121551.72413793104,50000.0,171551.72413793104
479327,SoBRO,10460,SACC,500.0,0.0,500.0,500,250,240.0,500.0,500.0,500.0,1,high_cost_rule,120000.0,50000.0,170000.0
906978,Variety Boys And Girls Club Of Queens,11101,SACC,460.0,0.0,500.0,500,250,243.4782608695652,500.0,500.0,500.0,1,high_cost_rule,121739.1304347826,50000.0,171739.1304347826
73952,CYPRESS HILLS  LOCAL DEVELOPEMENT CORP.,11208,SACC,671.0,0.0,500.0,500,250,229.80625931445604,500.0,500.0,500.0,0,low_cost_rule,125000.0,50000.0,175000.0
112885,ONE WORLD AFTER SCH PS 186,11214,SACC,466.0,0.0,500.0,500,250,242.91845493562232,500.0,500.0,500.0,1,high_cost_rule,121459.22746781116,50000.0,171459.22746781114
901628,Yeshivath Kehilath Yakov,11218,SACC,491.0,0.0,500.0,500,250,240.73319755600815,500.0,500.0,500.0,1,high_cost_rule,120366.59877800407,50000.0,170366.59877800406
709859,NIA Community Services Network @ IS 98,11235,SACC,444.0,0.0,500.0,500,250,245.04504504504504,500.0,500.0,500.0,1,high_cost_rule,122522.5225225225,50000.0,172522.5225225225
823212,Modern Chinese School,11355,SACC,460.0,0.0,500.0,500,250,243.4782608695652,500.0,500.0,500.0,1,high_cost_rule,121739.1304347826,50000.0,171739.1304347826
74234,Samuel Field YM & YWHA / TASC @ M.S. 158,11361,SACC,435.0,0.0,500.0,500,250,245.97701149425288,500.0,500.0,500.0,1,high_cost_rule,122988.50574712644,50000.0,172988.50574712644
74233,SAMUEL FIELD Y/BAY TERRACE BEACON JHS 216,11365,SACC,440.0,0.0,500.0,500,250,245.45454545454547,500.0,500.0,500.0,1,high_cost_rule,122727.27272727272,50000.0,172727.2727272727
121475,LATCH AFTERSCHOOL PROGRAM AT P.S. 89Q,11373,SACC,720.0,0.0,500.0,500,250,227.77777777777777,500.0,500.0,500.0,0,low_cost_rule,125000.0,50000.0,175000.0
899373,South Asian Youth Action (SAYA),11373,SACC,438.0,0.0,500.0,500,250,245.662100456621,500.0,500.0,500.0,1,high_cost_rule,122831.05022831049,50000.0,172831.0502283105
922382,"Kweller, Frances",11374,SACC,516.0,0.0,500.0,500,250,238.75968992248065,500.0,500.0,500.0,0,low_cost_rule,125000.0,50000.0,175000.0
74148,MASPETH TOWN HALL PS 229,11377,SACC,535.0,0.0,500.0,500,250,237.3831775700935,500.0,500.0,500.0,0,low_cost_rule,125000.0,50000.0,175000.0
338319,"MASPETH  TOWN HALL, INC.",11377,SACC,480.0,0.0,500.0,500,250,241.66666666666663,500.0,500.0,500.0,1,high_cost_rule,120833.33333333331,50000.0,170833.3333333333
