zipcode,size,num_new_facilities,new_total_capacity_per_facility,new_under5_capacity_max_per_facility,new_under5_assigned,fixed_build_cost_per_facility,fixed_build_cost_total,under5_equipment_cost_newbuild,total_newbuild_related_cost
11219,large,22.0,400,200,4400.0,115000,2530000.0,440000.0,2970000.0
11230,large,21.0,400,200,4200.0,115000,2415000.0,420000.0,2835000.0
11223,large,14.0,400,200,2800.0,115000,1610000.0,280000.0,1890000.0
11249,large,14.0,400,200,2800.0,115000,1610000.0,280000.0,1890000.0
10314,large,11.0,400,200,2200.0,115000,1265000.0,220000.0,1485000.0
11205,large,11.0,400,200,2200.0,115000,1265000.0,220000.0,1485000.0
11220,large,11.0,400,200,1766.0,115000,1265000.0,176600.0,1441600.0
11368,large,9.0,400,200,1800.0,115000,1035000.0,180000.0,1215000.0
10024,large,8.0,400,200,1600.0,115000,920000.0,160000.0,1080000.0
10128,large,8.0,400,200,1600.0,115000,920000.0,160000.0,1080000.0
11432,large,7.0,400,200,1400.0,115000,805000.0,140000.0,945000.0
10023,large,6.0,400,200,1200.0,115000,690000.0,120000.0,810000.0
10312,large,6.0,400,200,1200.0,115000,690000.0,120000.0,810000.0
11204,large,6.0,400,200,1200.0,115000,690000.0,120000.0,810000.0
11206,large,6.0,400,200,1200.0,115000,690000.0,120000.0,810000.0
11375,large,6.0,400,200,1200.0,115000,690000.0,120000.0,810000.0
11435,large,6.0,400,200,1200.0,115000,690000.0,120000.0,810000.0
10306,large,5.0,400,200,1000.0,115000,575000.0,100000.0,675000.0
10309,large,5.0,400,200,1000.0,115000,575000.0,100000.0,675000.0
10468,large,5.0,400,200,863.0,115000,575000.0,86300.0,661300.0
10469,large,5.0,400,200,1000.0,115000,575000.0,100000.0,675000.0
11201,large,5.0,400,200,1000.0,115000,575000.0,100000.0,675000.0
11209,large,5.0,400,200,1000.0,115000,575000.0,100000.0,675000.0
11217,large,5.0,400,200,1000.0,115000,575000.0,100000.0,675000.0
11229,large,5.0,400,200,1000.0,115000,575000.0,100000.0,675000.0
11427,large,5.0,400,200,1000.0,115000,575000.0,100000.0,675000.0
11691,large,5.0,400,200,1000.0,115000,575000.0,100000.0,675000.0
10010,large,4.0,400,200,800.0,115000,460000.0,80000.0,540000.0
10021,large,4.0,400,200,800.0,115000,460000.0,80000.0,540000.0
10022,large,4.0,400,200,800.0,115000,460000.0,80000.0,540000.0
10028,large,4.0,400,200,800.0,115000,460000.0,80000.0,540000.0
10461,large,4.0,400,200,687.0,115000,460000.0,68700.0,528700.0
11213,large,4.0,400,200,800.0,115000,460000.0,80000.0,540000.0
11214,large,4.0,400,200,800.0,115000,460000.0,80000.0,540000.0
11222,large,4.0,400,200,800.0,115000,460000.0,80000.0,540000.0
11235,large,4.0,400,200,800.0,115000,460000.0,80000.0,540000.0
11378,large,4.0,400,200,800.0,115000,460000.0,80000.0,540000.0
11385,large,4.0,400,200,800.0,115000,460000.0,80000.0,540000.0
10065,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
10075,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
10307,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
10458,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
10466,large,3.0,400,200,464.0,115000,345000.0,46400.0,391400.0
11109,large,3.0,400,200,586.0,115000,345000.0,58600.0,403600.0
11238,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
11358,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
11370,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
11372,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
11415,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
11416,large,3.0,400,200,578.0,115000,345000.0,57800.0,402800.0
11417,large,3.0,400,200,508.0,115000,345000.0,50800.0,395800.0
11423,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
11429,large,3.0,400,200,508.0,115000,345000.0,50800.0,395800.0
11436,large,3.0,400,200,410.0,115000,345000.0,41000.0,386000.0
11692,large,3.0,400,200,600.0,115000,345000.0,60000.0,405000.0
10012,large,2.0,400,200,391.0,115000,230000.0,39100.0,269100.0
10013,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
10016,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
10025,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
10031,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
10069,large,2.0,400,200,398.0,115000,230000.0,39800.0,269800.0
10308,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
10462,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
10471,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
11103,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
11105,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
11208,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
11211,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
11224,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
11231,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
11356,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
11365,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
11373,large,2.0,400,200,296.0,115000,230000.0,29600.0,259600.0
11414,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
11419,large,2.0,400,200,234.0,115000,230000.0,23400.0,253400.0
11421,large,2.0,400,200,400.0,115000,230000.0,40000.0,270000.0
10005,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
10005,medium,1.0,200,100,100.0,95000,95000.0,10000.0,105000.0
10007,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
10017,small,1.0,100,50,50.0,65000,65000.0,5000.0,70000.0
10018,large,1.0,400,200,162.0,115000,115000.0,16200.0,131200.0
10019,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
10037,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
10044,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
10069,small,1.0,100,50,50.0,65000,65000.0,5000.0,70000.0
10162,medium,1.0,200,100,90.0,95000,95000.0,9000.0,104000.0
10302,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
10305,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
10310,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
10472,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
11004,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
11221,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
11226,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
11228,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
11236,large,1.0,400,200,188.0,115000,115000.0,18800.0,133800.0
11354,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
11357,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
11377,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
11415,medium,1.0,200,100,100.0,95000,95000.0,10000.0,105000.0
11422,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
11430,small,1.0,100,50,-0.0,65000,65000.0,-0.0,65000.0
11693,large,1.0,400,200,200.0,115000,115000.0,20000.0,135000.0
11697,large,1.0,400,200,154.0,115000,115000.0,15400.0,130400.0
